rundate,reporting_period,foreign_region,foreign_country,UK_airport,foreign_airport,this_month_total_pax,this_month_schedueld_pax,this_month_charter_pax,last_month_total_pax,last_month_scheduled_pax,last_month_charter_pax,percent_change,Month,Year
25/07/2013 11:13,201301,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,SALZBURG,1819,0,1819,1671,0,1671,8.856971873,January,2013
25/07/2013 11:13,201301,CARIBBEAN AREA,BARBADOS,GLASGOW,BRIDGETOWN,991,0,991,1281,0,1281,-22.63856362,January,2013
25/07/2013 11:13,201301,CANADA,CANADA,GLASGOW,TORONTO,2682,2682,0,2284,2284,0,17.42556918,January,2013
25/07/2013 11:13,201301,ATLANTIC OCEAN ISLANDS,CAPE VERDE ISLANDS,GLASGOW,BOA VISTA (RABIL),232,232,0,2051,2051,0,-88.68844466,January,2013
25/07/2013 11:13,201301,CENTRAL AMERICA,CUBA,GLASGOW,CUNAGUA (CAYO COCO),0,0,0,178,0,178,0,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,CYPRUS,GLASGOW,PAPHOS,273,0,273,1423,0,1423,-80.8151792,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,DENMARK,GLASGOW,COPENHAGEN,449,449,0,648,648,0,-30.70987654,January,2013
25/07/2013 11:13,201301,NORTH AFRICA,EGYPT,GLASGOW,SHARM EL SHEIKH (OPHIRA),4140,0,4140,6832,0,6832,-39.4028103,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,FRANCE,GLASGOW,CHAMBERY,1839,0,1839,1569,0,1569,17.208413,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,FRANCE,GLASGOW,PARIS (CHARLES DE GAULLE),8621,8621,0,8762,8762,0,-1.609221639,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,GERMANY,GLASGOW,BERLIN (SCHONEFELD),5275,5275,0,5317,5317,0,-0.789919127,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,GERMANY,GLASGOW,FRANKFURT MAIN,0,0,0,384,384,0,0,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-OTHER,ICELAND,GLASGOW,KEFLAVIK,2341,2341,0,2019,2019,0,15.94848935,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,IRISH REPUBLIC,GLASGOW,CORK,1485,1485,0,1346,1346,0,10.3268945,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,IRISH REPUBLIC,GLASGOW,DONEGAL,478,478,0,397,397,0,20.40302267,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,IRISH REPUBLIC,GLASGOW,DUBLIN,9461,9461,0,9350,9176,174,1.187165775,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,ITALY,GLASGOW,TURIN,1826,0,1826,1997,0,1997,-8.562844266,January,2013
25/07/2013 11:13,201301,CENTRAL AMERICA,MEXICO,GLASGOW,CANCUN,0,0,0,386,0,386,0,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-EU,NETHERLANDS,GLASGOW,AMSTERDAM,23597,23597,0,26256,26256,0,-10.12720902,January,2013
25/07/2013 11:13,201301,WESTERN EUROPE-OTHER,NORWAY,GLASGOW,STAVANGER,148,148,0,298,298,0,-50.33557047,January,2013
