Data Zone,Intermediate Geography Name,All people,Work or study mainly at or from home,Underground metro light rail or tram,Train,Bus minibus or coach,Taxi or minicab,Driving a car or van,Passenger in a car or van,Motorcycle scooter or moped,Bicycle,On foot,Other
S01003025,Carmunnock South,535,58,2,27,48,3,252,68,-,10,60,7
S01003026,Carmunnock South,490,62,3,11,76,4,222,55,1,2,48,6
S01003027,Darnley East,756,67,3,45,76,7,366,124,2,2,58,6
S01003028,Glenwood South,361,62,-,3,107,2,68,27,-,1,90,1
S01003029,Carmunnock South,645,98,1,15,176,6,185,67,1,11,84,1
S01003030,Glenwood South,811,97,-,8,193,9,256,84,-,3,161,-
S01003032,Glenwood South,224,36,-,3,60,2,62,13,-,1,47,-
S01003033,Glenwood South,270,38,-,5,62,3,56,22,2,-,79,3
S01003034,Darnley East,643,69,1,29,78,12,258,119,1,1,70,5
S01003035,Glenwood South,596,95,2,7,188,6,137,65,1,3,92,-
S01003036,Glenwood South,366,49,1,8,85,5,91,33,-,3,91,-
S01003037,Darnley West,1592,207,3,60,174,11,760,280,-,5,71,21
S01003038,Darnley West,643,85,1,16,101,9,288,106,1,3,27,6
S01003039,Darnley East,493,58,4,14,110,11,133,56,1,1,101,4
S01003040,Castlemilk,440,57,1,5,113,4,120,40,1,-,97,2
S01003041,Darnley West,497,62,2,13,75,2,225,82,1,-,32,3
S01003042,Glenwood North,323,41,1,2,127,7,59,26,-,-,57,3
S01003043,Glenwood North,300,57,4,3,121,4,28,19,-,2,62,-
S01003044,Glenwood North,645,76,-,8,225,4,115,69,2,2,139,5
S01003045,Darnley East,530,84,-,4,148,9,116,65,-,3,100,1
S01003046,Glenwood North,472,46,3,2,121,11,163,61,-,4,60,1
S01003047,Carmunnock South,476,57,-,7,136,5,108,41,-,2,119,1
S01003048,Castlemilk,210,30,1,8,70,6,45,7,-,3,40,-
S01003049,Castlemilk,227,20,-,2,76,7,58,14,-,1,48,1
S01003050,Carmunnock North,461,45,1,35,67,2,212,55,-,3,39,2
S01003051,Darnley North,646,72,-,32,113,8,219,64,-,3,133,2
S01003052,Castlemilk,323,49,2,3,112,2,67,23,1,-,61,3
S01003053,Darnley North,671,92,-,35,121,2,249,59,-,2,108,3
S01003054,Castlemilk,521,36,-,15,141,7,186,48,2,1,82,3
S01003055,Carnwadric West,412,49,-,9,85,7,109,34,1,5,112,1
S01003056,Darnley East,531,97,2,16,168,7,99,34,-,3,105,-
S01003057,Castlemilk,488,26,1,24,129,5,166,60,3,2,71,1
S01003058,Darnley West,790,91,-,42,158,7,342,88,3,4,51,4
S01003059,Muirend and Old Cathcart,542,56,2,96,55,1,198,55,-,9,68,2
S01003060,Glenwood North,657,78,1,17,169,2,197,98,1,5,87,2
S01003061,Carmunnock North,519,43,2,39,79,5,225,46,-,4,75,1
S01003062,Darnley North,574,60,5,26,99,4,261,75,2,6,35,1
S01003063,Castlemilk,562,44,5,25,153,9,189,47,2,6,80,2
S01003064,Carnwadric West,398,30,1,23,87,8,121,30,-,2,95,1
S01003065,Muirend and Old Cathcart,654,70,3,95,127,4,253,49,1,6,42,4
S01003066,Muirend and Old Cathcart,573,48,1,87,77,3,230,56,-,8,59,4
S01003067,Carmunnock North,411,25,1,25,77,7,165,51,1,3,54,2
S01003068,Carmunnock North,538,65,2,100,57,-,206,31,-,6,66,5
S01003069,Carnwadric East,322,29,2,17,68,2,119,34,-,1,50,-
S01003070,Carnwadric East,483,71,5,33,94,2,148,48,1,8,73,-
S01003071,Muirend and Old Cathcart,391,45,4,50,26,1,175,42,-,6,38,4
S01003072,Carnwadric West,545,50,1,30,115,7,149,66,-,2,121,4
S01003073,Kingspark South,504,46,1,23,104,1,185,46,3,4,88,3
S01003074,Newlands,501,64,3,29,58,4,229,60,2,7,44,1
S01003075,Kingspark South,488,52,2,23,119,3,177,37,-,1,74,-
S01003076,Carnwadric West,394,55,-,24,121,4,56,26,-,6,101,1
S01003077,Carnwadric East,543,59,5,39,129,7,160,51,1,6,83,3
S01003078,Muirend and Old Cathcart,400,42,4,32,62,4,143,33,1,6,71,2
S01003079,Muirend and Old Cathcart,637,59,3,123,67,7,227,47,2,10,91,1
S01003080,Kingspark South,605,63,1,28,127,2,232,70,-,2,79,1
S01003081,Carnwadric West,754,89,2,51,97,12,276,153,1,4,68,1
S01003082,Nitshill,715,106,3,47,157,12,194,80,4,2,106,4
S01003083,Nitshill,738,99,1,40,157,12,221,70,1,4,131,2
S01003084,Nitshill,356,41,-,15,82,10,118,25,-,2,62,1
S01003085,Cathcart,660,58,3,89,86,6,266,41,1,10,96,4
S01003086,Newlands,431,75,3,26,50,1,168,48,-,7,50,3
S01003087,Kingspark South,476,24,1,29,149,3,148,46,2,3,70,1
S01003088,Nitshill,611,85,2,18,172,12,134,38,3,2,143,2
S01003089,Newlands,479,50,3,36,55,2,233,41,-,7,51,1
S01003090,Merrylee and Millbrae,447,38,4,58,55,4,151,33,-,8,94,2
S01003091,Kingspark South,401,37,2,43,92,4,135,32,2,2,50,2
S01003092,Carnwadric East,477,58,2,28,94,5,161,53,-,3,71,2
S01003093,Newlands,522,71,1,25,148,4,148,30,2,4,87,2
S01003094,Merrylee and Millbrae,596,48,3,98,86,3,220,48,2,11,72,5
S01003095,Newlands,529,78,4,39,57,-,225,79,-,8,36,3
S01003096,Kingspark South,435,57,1,40,54,6,160,55,2,2,55,3
S01003097,Crookston South,134,11,-,8,44,-,35,11,-,1,23,1
S01003098,Cathcart,839,66,5,180,117,6,318,44,-,13,86,4
S01003099,Nitshill,301,54,-,4,82,3,76,34,-,1,47,-
S01003100,Newlands,469,57,3,29,96,6,153,35,1,8,79,2
S01003101,Crookston South,289,45,-,7,77,-,75,25,-,5,54,1
S01003102,Kingspark North,461,42,3,46,61,4,165,36,1,3,98,2
S01003103,Kingspark North,473,42,2,49,65,2,194,33,-,5,79,2
S01003104,Pollokshaws,430,47,3,37,87,7,136,44,2,4,61,2
S01003105,Kingspark North,523,45,1,31,90,5,195,47,2,5,96,6
S01003106,Newlands,465,35,4,49,62,4,198,28,-,12,68,5
S01003107,Crookston South,424,46,1,3,129,6,101,35,-,4,99,-
S01003108,Cathcart,483,48,-,63,117,6,159,17,-,5,67,1
S01003109,Merrylee and Millbrae,652,55,3,108,54,3,255,50,-,10,111,3
S01003110,Merrylee and Millbrae,533,52,1,71,42,2,222,60,-,12,70,1
S01003111,Nitshill,420,59,-,4,99,8,113,36,-,3,97,1
S01003112,Cathcart,667,50,1,81,95,4,265,48,2,4,116,1
S01003113,Kingspark North,496,23,3,39,79,12,190,48,1,7,91,3
S01003114,Mount Florida,537,50,3,30,97,8,198,44,2,-,104,1
S01003115,Pollokshaws,739,78,-,106,132,3,259,44,1,13,97,6
S01003116,Cathcart,579,47,4,94,127,1,196,23,1,8,77,1
S01003117,Battlefield,535,42,1,54,131,1,172,13,2,12,102,5
S01003118,Pollokshaws,269,52,-,16,71,3,45,14,-,-,67,1
S01003119,Kingspark North,437,41,1,24,93,8,137,47,-,4,79,3
S01003120,Pollok South and West,1149,108,13,34,170,8,559,191,-,7,54,5
S01003121,Crookston South,470,63,1,8,151,7,103,41,-,2,93,1
S01003122,Toryglen and Oatlands,408,31,1,20,82,8,133,48,-,-,84,1
S01003123,Pollok South and West,547,60,4,5,108,6,261,71,2,4,23,3
S01003124,Battlefield,656,54,4,105,124,2,229,34,-,17,83,4
S01003125,Langside,645,70,4,56,182,4,198,18,-,20,89,4
S01003126,Pollokshaws,51,2,2,4,15,-,17,2,-,-,9,-
S01003127,Kingspark North,530,37,-,22,138,6,179,47,-,5,95,1
S01003128,Mount Florida,397,24,-,98,59,4,145,10,3,10,43,1
S01003129,Langside,790,94,7,82,123,7,324,28,4,19,96,6
S01003130,Mount Florida,550,36,3,116,71,1,205,30,2,6,78,2
S01003131,Battlefield,669,71,5,80,154,3,204,28,1,26,90,7
S01003132,Pollokshaws,429,57,2,34,114,1,121,20,-,8,70,2
