category,latitude,longitude,datazone,name
Potholes,55.84409,-4.34629,S01009815,Cardonald West and Central - 01
Pavements/footpaths,55.87155,-4.32769,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.87056,-4.32029,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.87254,-4.28755,S01010379,Kelvingrove and University - 06
Potholes,55.82028,-4.36781,S01009797,Pollok South and West - 06
Potholes,55.85509,-4.34113,S01009836,Drumoyne and Shieldhall - 04
Potholes,55.8784,-4.27865,S01010371,North Kelvin - 03
Potholes,55.89794,-4.34173,S01010470,Anniesland West - 01
Potholes,55.87398,-4.27819,S01010292,Woodlands - 04
Potholes,55.8624,-4.27903,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.81246,-4.24519,S01009993,Kingspark South - 01
Pavements/footpaths,55.82754,-4.25551,S01010014,Mount Florida - 04
Potholes,55.86174,-4.26224,S01010275,City Centre South - 04
Pavements/footpaths,55.85422,-4.26234,S01010032,Laurieston and Tradeston - 02
Pavements/footpaths,55.85583,-4.24578,S01010264,City Centre East - 06
Potholes,55.85662,-4.27034,S01010276,Anderston - 01
Potholes,55.83629,-4.27701,S01009911,Strathbungo - 07
Potholes,55.83446,-4.36232,S01009803,Pollok North and East - 05
Pavements/footpaths,55.8805,-4.3003,S01010405,Dowanhill - 03
Pavements/footpaths,55.88609,-4.30687,S01010365,Kelvindale - 03
Potholes,55.88048,-4.31632,S01010416,Broomhill - 02
Potholes,55.85722,-4.26523,S01010273,City Centre South - 02
Potholes,55.84962,-4.27997,S01009871,Kingston West and Dumbreck - 01
Pavements/footpaths,55.87409,-4.27736,S01010308,Firhill - 08
Potholes,55.86781,-4.25707,S01010270,City Centre West - 05
Potholes,55.85114,-4.11775,S01010094,Garrowhill West - 01
Potholes,55.90072,-4.35866,S01010455,Knightswood Park West - 01
Pavements/footpaths,55.82493,-4.24057,S01010000,Kingspark North - 02
Potholes,55.84313,-4.34723,S01009815,Cardonald West and Central - 01
Potholes,55.86245,-4.2497,S01010260,City Centre East - 02
Potholes,55.84136,-4.17765,S01010065,Braidfauld - 05
Potholes,55.88737,-4.35386,S01010451,Knightswood East - 02
Potholes,55.80989,-4.27044,S01009962,Muirend and Old Cathcart - 04
Potholes,55.86383,-4.21865,S01010234,Dennistoun North - 01
Potholes,55.89823,-4.20056,S01010197,Balornock - 04
Pavements/footpaths,55.86968,-4.3025,S01010386,Hillhead - 06
Potholes,55.87416,-4.29557,S01010374,Kelvingrove and University - 01
Potholes,55.86981,-4.26348,S01010297,Woodside - 01
Potholes,55.86081,-4.34989,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.80428,-4.24473,S01009972,Carmunnock South - 04
Potholes,55.85439,-4.31171,S01009861,Ibrox - 03
Potholes,55.82285,-4.38018,S01009793,Pollok South and West - 02
Potholes,55.86051,-4.13689,S01010118,North Barlanark and Easterhouse South - 01
Pavements/footpaths,55.86992,-4.26012,S01010297,Woodside - 01
Potholes,55.85973,-4.13343,S01010118,North Barlanark and Easterhouse South - 01
Potholes,55.8582,-4.24808,S01010264,City Centre East - 06
Potholes,55.82149,-4.36786,S01009793,Pollok South and West - 02
Potholes,55.86127,-4.28472,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.87476,-4.32889,S01010421,Victoria Park - 02
Potholes,55.838,-4.27419,S01009915,Maxwell Park - 04
Potholes,55.84279,-4.24182,S01010022,Toryglen and Oatlands - 07
Pavements/footpaths,55.8641,-4.33005,S01009839,Drumoyne and Shieldhall - 07
Pavements/footpaths,55.8603,-4.29357,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.82205,-4.37873,S01009793,Pollok South and West - 02
Potholes,55.86508,-4.25373,S01010275,City Centre South - 04
Pavements/footpaths,55.86036,-4.29375,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.84099,-4.1768,S01010064,Braidfauld - 04
Potholes,55.89801,-4.34168,S01010482,Blairdardie East - 05
Potholes,55.85229,-4.28978,S01009869,Kinning Park and Festival Park - 04
Pavements/footpaths,55.83227,-4.36313,S01009805,Pollok North and East - 07
Potholes,55.84982,-4.18501,S01010057,Parkhead East and Braidfauld North - 02
Potholes,55.86409,-4.22057,S01010234,Dennistoun North - 01
Potholes,55.84822,-4.30815,S01009873,Kingston West and Dumbreck - 03
